ลำดับที่,เดือน,วันที่เกิดเหตุ,เวลา,ขบวนรถ,เส้นทาง,สถานีที่เกิดเหตุขัอง,ระยะเวลาล่าช้า (นาที),ผู้ให้บริการ,สาเหตุ,รายละเอียด
217,พฤศจิกายน,22 พ.ย. 21,19.28 น.,T23,สายสีแดง,บางบำหรุ-ตลิ่งชัน,6,SRTET, จุดสับราง ,19.28 น. ชุดประแจ101A ขัดข้อง ระหว่างช่วงสถานีบางบำหรุและสถานีตลิ่งชัน ฝั่งขาออกเมือง ส่งผลให้ขบวนรถT23 เที่ยว2109 ล่าช้าจากตารางเวลา 6 นาที 19.30 น. รถไฟทุกขบวนให้บริการครบตรงตามตารางเวลาเดินรถ
218,พฤศจิกายน,23 พ.ย. 21,19.17 น.,T06,สายสีแดง,หลักหก,6,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,19.17 น. ขบวนรถไฟ T06 ตัวรับข้อมูลจากตัวส่งสัญญาณ ที่ตู้ขบวน1 ขัดข้อง  ก่อนเข้าสถานีหลักหก ฝั่งขาเข้าเมือง ทำการแก้ไขแล้วเสร็จ ส่งผลให้ขบวนรถ เที่ยว1110 ล่าช้าจากตารางเวลา 6 นาที 19.50 น รถไฟทุกขบวนให้บริการครบตรงตามตารางเวลาเดินรถ
219,พฤศจิกายน,24 พ.ย. 21,07.35 น.,T04,สายสีแดง,หลักหก,5,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"07.35 น. เกิดอุปกรณ์ส่งสัญญาณจากรางขัดข้อง บริเวณก่อนเข้าสถานีหลักหก ฝั่งขาเข้าเมือง สัญญาณไฟประจำที่ หมายเลข B04 ส่งผลให้ขบวนรถ T04/เที่ยว1016 ล่าช้าจากตารางเวลา 5 นาที
08.00 น. นำขบวนรถไฟสำรองมาให้บริการที่สถานีกลางบางซื่อ ฝั่งขาออกเมือง รถไฟทุกขบวนให้บริการครบตรงตามตารางเดินรถ"
220,พฤศจิกายน,24 พ.ย. 21,08.07 น.,T08,สายสีแดง,หลักหก,6,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"08.07 น. เกิดอุปกรณ์ส่งสัญญาณจากรางขัดข้อง บริเวณก่อนเข้าสถานีหลักหก ฝั่งขาเข้าเมือง สัญญาณไฟประจำที่ หมายเลข B04 ส่งผลให้ขบวนรถ T08/เที่ยว1020 ล่าช้าจากตารางเวลา 6 นาที
08.45 น. นำขบวนรถไฟสำรองมาให้บริการที่สถานีกลางบางซื่อ ฝั่งขาออกเมือง รถไฟทุกขบวนให้บริการครบตรงตามตารางเดินรถ"
221,พฤศจิกายน,24 พ.ย. 21,08.52 น.,-,สาย ARL,พญาไท,10,AERA1, ระบบอาณัติสัญญาณและการควบคุม ," เวลา 08.52 น.เกิดเหตุอาณัติสัญญาณขัดข้อง ที่สถานีพญาไท ฝั่งขาออกนอกเมือง ส่งผลให้รถล่าช้าจากตารางเวลา 10 นาที
- เวลา 10.20 น.เจ้าหน้าที่ทำการแก้ไขอาณัติสัญญาณที่สถานีพญาไท ฝั่งขาออกนอกเมือง แล้วเสร็จ รถไฟทุกขบวนให้บริการครบตรงตามตารางเวลาเดินรถ"
222,พฤศจิกายน,24 พ.ย. 21,12.35 น.,69,สายสีเขียว,รัชโยธิน,-,BTS, ระบบอาณัติสัญญาณและการควบคุม ,12.35 BTS ขบวนรถไฟฟ้าหมายเลข 69 ระบบอาณัติสัญญาณขัดข้องก่อนถึงจุดจอดที่สถานีรัชโยธิน  ฝั่งมุ่งหน้าสถานีปลายทางคูคต กำลังทำการแก้ไข 12.41 BTS ขบวนรถไฟฟ้าหมายเลข 69 ได้รับการแก้ไขเรียบร้อย หลังจากนั้นนำขบวนรถออกจากการให้บริการ  การเดินรถในสายสุขุมวิทสามารถเดินรถได้ตามปกติ
223,พฤศจิกายน,25 พ.ย. 21,11.15 น.,T19,สายสีแดง,ตลิ่งชัน-บางบำหรุ,8,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"11.15 น. อุปกรณ์ตรวจจับนับเพลาล้อ 101BT, 102AT ขัดข้อง ที่ระหว่างสถานีตลิ่งชันและบางบำหรุ ฝั่งขาเข้าเมือง ส่งผลให้ขบวนรถไฟ T19/เที่ยว 2045 ล่าช้าจากตารางเวลา 8 นาที 11.45 น. ทำการแก้ไขอุปกรณ์ตรวจจับนับเพลาล้อ 101BT, 102AT ที่ระหว่างสถานีตลิ่งชันและบางบำหรุแล้วเสร็จ รถไฟทุกขบวนให้บริการครบตรงตามตารางเดินรถ"
224,พฤศจิกายน,25 พ.ย. 21,14.44 น.,T16,สายสีแดง,บางบำหรุ,8,SRTET, ระบบจ่ายไฟฟ้าขับเคลื่อน ,14.44 น. ขบวนรถT16 /เที่ยว2073 เกิดระบบจ่ายไฟในขบวนรถขัดข้อง ก่อนเข้าสถานีบางบำหรุ ฝั่งขาออกเมือง สามารถเคลื่อนที่เข้าจอดที่สถานี  และทำการแก้ไข 14.55 น. ทำการแก้ไขเเล้วเสร็จ ขบวนรถสามารถเคลื่อที่ได้ถึงสถานีปลายทาง สถานีตลิ่งชัน ส่งผลให้ขบวนรถไฟ เที่ยว2073 ล่าช้า 8 นาที 15.35 น. นำขบวนรถสำรองมาให้บริการแทนที่สถานีกลางบางซื่อฝั่งขาออกเมือง รถไฟทุกขบวนให้บริการครบตรงตามตารางเดินรถ
225,พฤศจิกายน,25 พ.ย. 21,23.55 น.,City02,สาย ARL,ราชปรารภ,7,AERA1, ระบบเบรก ,เวลา 23:55 น. ขบวนรถ City02 ระบบห้ามล้อขัดข้อง ที่สถานีราชปรารภฝั่งขาออกนอกเมือง ทำการขนถ่ายผู้โดยสารออกจากขบวนรถและถอนออกจากการให้บริการ  โดยมีขบวนรถให้บริการทดแทน ล่าช้า 7 นาที เวลา 00.06 น. รถไฟทุกขบวนให้บริการครบตรงตามตารางเดินรถ
226,พฤศจิกายน,26 พ.ย. 21,05.50 น.,T22,สายสีแดง,บางบำหรุ-ตลิ่งชัน,6,SRTET, วัสดุแปลกปลอม ,05.50 น. ขบวนรถไฟ T22 /เที่ยว 2004 แจ้งว่าพบสายกราวด์ใกล้บริเวณพื้นที่ราง ระหว่างสถานีบางบำหรุและตลิ่งชัน ฝั่งขาออกเมือง 06.12 น. พนักงานขับรถไฟเก็บสายกราวด์ออกจากบริเวณพื้นที่รางเรียบร้อย ส่งผลให้ T22 /เที่ยว 2004  ล่าช้าจากตารางเวลา 6 นาที
227,พฤศจิกายน,26 พ.ย. 21,07.04 น.,T10,สายสีแดง,บางซื่อ,8,SRTET, ระบบประตู ,"07.04 น. ขบวนรถT10 /เที่ยว 1015 เกิดเหตุประตูรถไฟฟ้าขัดข้องทั้งขบวน  ที่สถานีกลางบางซื่อฝั่งขาออกเมือง
07.08 น. ทำการแก้ไขเเล้วเสร็จ ขบวนรถสามารถให้บริการได้ตามปกติ ส่งผลให้ขบวนรถไฟ T10 / เที่ยว1015 ล่าช้าจากตารางเวลา 8 นาที"
228,พฤศจิกายน,27 พ.ย. 21,06.32 น.,"T01, T05",สายสีแดง,"หลักหก, รังสิต",5,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"06.32 น. อุปกรณ์ตรวจจับนับเพลาล้อ B01AT, B01BT ขัดข้อง ที่ระหว่างสถานีหลักหกและรังสิตฝั่งขาออกเมือง ส่งผลให้ขบวนรถไฟ T01/เที่ยว 1009, T05/เที่ยว 1011 ล่าช้าจากตารางเวลา 5 นาที"
229,พฤศจิกายน,27 พ.ย. 21,13.49 น.,T02,สายสีแดง,ดอนเมือง,18,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"13.49 น. อุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT ขัดข้อง ที่สถานีดอนเมืองฝั่งขาเข้าเมือง ส่งผลให้ขบวนรถไฟ T02/เที่ยว 1066 ล่าช้าจากตารางเวลา 18 นาที และ T08/เที่ยว 1068 ล่าช้าจากตารางเวลา 12 นาที"
230,พฤศจิกายน,27 พ.ย. 21,17.35 น.,Express03,สาย ARL,ราชปรารภ,-,AERA1, ระบบขับเคลื่อนรถไฟฟ้า ,เวลา 17.35 น. ขบวนรถ Express03 ระบบขับเคลื่อนขัดข้อง ที่สถานีราชปรารภฝั่งขาเข้าเมือง ทำการขนถ่ายผู้โดยสารออกจากขบวนรถที่สถานีปลายทางพญาไท ถอนออกจากการให้บริการ ยกเลิกเที่ยวให้บริการที่สถานีพญาไทถึงสถานีรามคำแหง ฝั่งขาออกนอกเมือง เวลา 17.51 น. นำขบวนรถทดแทนให้บริการที่สถานีหัวหมาก ฝั่งขาออกนอกเมือง ขบวนรถไฟให้บริการครบตรงตามตารางการเดินรถ
231,พฤศจิกายน,29 พ.ย. 21,14.00 น.,T11,สายสีแดง,"ดอนเมือง, การเคหะ",12,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"14.00 น. อุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT, B04T ขัดข้อง ที่สถานีดอนเมือง ฝั่งขาเข้าเมือง 14.36 น. อุปกรณ์ตรวจจับนับเพลาล้อ 02AT, 102BT ขัดข้อง ที่สถานีการเคหะฝั่งขาเข้าเมือง ส่งผลให้ขบวนรถไฟ T11/เที่ยว 1068 ล่าช้าจากตารางเวลา 12 นาที 15.00 น. นำขบวนรถสำรองมาให้บริการแทนที่สถานีกลางบางซื่อฝั่งขาออกเมือง"
232,พฤศจิกายน,29 พ.ย. 21,15.02 น.,5,สายสีน้ำเงิน,สุขุมวิท,3,BEM, ระบบประตู ,เวลา 15.02 น. ขบวนรถไฟฟ้าหมายเลข 05 เกิดเหตุประตูรถไฟฟ้าขัดข้อง จำนวน 1 ขบวน ที่สถานีสุขุมวิท ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ โดยมีขบวนรถไฟฟ้าให้บริการทดแทน ล่าช้า 3 นาที
233,พฤศจิกายน,29 พ.ย. 21,22.29 น.,-,สาย ARL,สุวรรณภูมิ,5,AERA1, ระบบอาณัติสัญญาณและการควบคุม ,เวลา 22.29 น. เกิดเหตุสัญญานไฟ H6141 ขัดข้องที่สถานีสุวรรณภูมิ มีผลให้รถไฟทุกขบวนฝั่งขาเข้าเมืองล่าช้า 5 นาที จนสิ้นสุดการบริการ (8 เที่ยว)
234,ธันวาคม,1 ธ.ค. 21,05.40 น.,-,สายสีแดง,บางบำหรุ,21,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"05.40 น. สถานีบางบำหรุ  อุปกรณ์ตรวจจับนับเพลาล้อ B06BT ขัดข้อง ฝั่งขาออกเมือง และ B05AT ขัดข้อง ฝั่งขาออกเมือง ส่งผลให้ขบวนรถ เที่ยว 2007 ล่าช้า 21 นาที, เที่ยว 2004 ล่าช้า 17 นาที และ ยกเลิกเที่ยวให้บริการจำนวน 2 เที่ยว  เจ้าหน้าที่กำลังดำเนินการการแก้ไข"
235,ธันวาคม,1 ธ.ค. 21,11.38 น.,-,สายสีแดง,บางบำหรุ - ตลิ่งชัน,-,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,11.38 น. ระบบการบังคับสัมพันธ์ด้วยคอมพิวเตอร์ (CBI) ขัดข้อง ที่สถานี บางบำหรุ และ สถานี ตลิ่งชัน ขัดข้อง ส่งผลให้ไม่สามารถควบคุมการเดินรถได้  12.02 น. ศูนย์ควบคุมการเดิน ให้ทำการขนถ่ายผู้โดยสารออกจากขบวนรถ ที่สถานี กลางบางซื่อ เที่ยว 2043สถานี บางบำหรุ เที่ยว 2041 สถานี ตลิ่งชัน เที่ยว 2040 สายตะวันตก ยังไม่สามารถให้บริการการเดินรถได้ 15.00 น. ศูนย์ควบคุมการเดินรถไฟฟ้าสายสีแดงเปิดให้บริการสายตะวันตกเดินรถไม่เต็มรูปแบบ  เนื่องจากระบบการบังคับสัมพันธ์ด้วยคอมพิวเตอร์ (CBI) ขัดข้อง ยังไม่สามารถแก้ไขได้ ใช้รถไฟให้บริการ 2 ขบวน ความถี่ 30 นาที 17.00 น. ดำเนินการแก้ไขระบบการบังคับสัมพันธ์ด้วยคอมพิวเตอร์ (CBI)  ที่สถานีบางบำหรุและสถานีตลิ่งชัน สามารถกลับมาใช้งานได้ 17.15 น. ศูนย์ควบคุมการเดินรถกลับมาใช้แผนการเดินรถตามปกติ ขบวนรถให้บริการครบตรงตามเวลา
236,ธันวาคม,1 ธ.ค. 21,19.00 น.,T06,สายสีแดง,รังสิต,6,SRTET, ระบบประตู ,19.00 น. ขบวนรถT06 /เที่ยว 1106 เกิดเหตุประตูรถไฟฟ้าขัดข้องทั้งขบวน  ที่สถานีรังสิตฝั่งขาเข้าเมือง 19.07 น. ทำการแก้ไขเเล้วเสร็จ ขบวนรถสามารถให้บริการได้ตามปกติ ส่งผลให้ขบวนรถไฟ T06 / เที่ยว1106 ล่าช้าจากตารางเวลา 6 นาที
237,ธันวาคม,3 ธ.ค. 21,08.36 น.,-,สายสีเขียว,สนามกีฬาแห่งชาติ,-,BTS, จุดสับราง ,08.36-08.46 น. เกิดเหตุจุดสับรางขัดข้องที่บริเวณจุดกลับขบวนรถสถานีปลายทางสนามกีฬาแห่งชาติ ทำให้ขบวนรถไฟฟ้าไม่สามารถเคลื่อนที่ผ่านบริเวณดังกล่าวได้ และได้รับการแก้ไขเรียบร้อย
238,ธันวาคม,3 ธ.ค. 21,10.30 น.,19,สายสีน้ำเงิน,หัวลำโพง,3,BEM, ระบบเบรก , เวลา 10.30 น. ขบวนรถไฟฟ้าหมายเลข 19 เกิดเหตุระบบแรงดันลมขัดข้อง จำนวน 1 ขบวน ที่สถานีหัวลำโพง ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถไฟฟ้าให้บริการทดแทน
239,ธันวาคม,4 ธ.ค. 21,16.28 น.,T07,สายสีแดง,การเคหะ,13,SRTET, ระบบจ่ายไฟฟ้าขับเคลื่อน ,16.28 น. ขบวนรถไฟ T07 /เที่ยว 1082 เกิดระบบหม้อแปลงไฟฟ้าขับเคลื่อนขัดข้อง ที่สถานีการเคหะ ฝั่งขาเข้าเมือง ทำการแก้ไขแล้วเสร็จ ส่งผลให้ขบวนรถ เที่ยว1082 ล่าช้าจากตารางเวลา 13 นาที 17.00 น. นำขบวนรถสำรองมาให้บริการแทนที่สถานีกลางบางซื่อ ฝั่งขาออกเมือง รถไฟทุกขบวนให้บริการครบตรงตามตารางเวลาเดินรถ
240,ธันวาคม,4 ธ.ค. 21,17.30 น.,T10,สายสีแดง,ดอนเมือง,6,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"17.30 น. อุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT, B04T ขัดข้อง ที่สถานีดอนเมือง ฝั่งขาเข้าเมือง  ส่งผลให้ขบวนรถไฟ T10/เที่ยว 1098 ล่าช้าจากตารางเวลา 6 นาที"
241,ธันวาคม,6 ธ.ค. 21,12.10 น.,T02,สายสีแดง,ดอนเมือง,7,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"12.10 น. อุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT ขัดข้อง ที่สถานีดอนเมือง ฝั่งขาเข้าเมือง  ส่งผลให้ขบวนรถไฟ T02/เที่ยว 1058 ล่าช้าจากตารางเวลา 7 นาที และ T12 / เที่ยว1060 ล่าช้าจากตารางเวลา 18 นาที ขณะทำการแก้ไข 13.05 น. เจ้าหน้าที่ทำการแก้ไขอุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT ขัดข้อง ที่สถานีดอนเมือง ฝั่งขาเข้าเมือง  แล้วเสร็จ 13.23 น. รถไฟทุกขบวนให้บริการครบตรงตามตารางเวลาเดินรถ"
242,ธันวาคม,6 ธ.ค. 21,17.30 น.,-,สายสีแดง,ดอนเมือง,6,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"17.30 น. อุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT ขัดข้อง ที่สถานีดอนเมือง ฝั่งขาเข้าเมือง  ส่งผลให้ขบวนรถไฟ เที่ยว 1092 ล่าช้าจากตารางเวลา 6 นาที / เที่ยว1100 ล่าช้าจากตารางเวลา 6 นาที และเที่ยว 1110 ล่าช้าจากตารางเวลา 8 นาที"
243,ธันวาคม,6 ธ.ค. 21,18.09 น.,62,สายสีเขียว,สำโรง,-,BTS, ระบบประตู ,18.09-18.24 น. ระบบประตูของขบวนรถไฟฟ้าหมายเลข 62 ขัดข้องที่สถานีสำโรง ฝั่งมุ่งหน้าสถานีปลายทางคูคต ไม่สามารถแก้ไขได้ และทำการเปลี่ยนถ่ายผู้โดยสาร จากนั้นนำขบวนรถออกจากการให้บริการ
244,ธันวาคม,6 ธ.ค. 21,20.21 น.,-,สายสีเขียว,-,-,BTS, ระบบอาณัติสัญญาณและการควบคุม , 20.21-20.57 น. ระบบควบคุมการเดินรถสายสุขุมวิทและสายสีลมขัดข้อง ส่งผลให้ศูนย์ควบคุมการเดินรถไม่สามารถใช้คำสั่งต่างๆในการควบคุมการเดินรถได้ ทำให้ขบวนรถต้องจอดรอที่สถานี และระหว่างสถานีนานกว่าปกติ จากนั้นระบบควบคุมการเดินรถได้รับการแก้ไขเรียบร้อย ขบวนรถไฟฟ้าทุกขบวนสามารถเคลื่อนที่ให้บริการได้ตามปกติ
245,ธันวาคม,7 ธ.ค. 21,06.10 น.,-,สายสีแดง,ดอนเมือง,30,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"06.10 น. อุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT ขัดข้อง ที่สถานีดอนเมือง ฝั่งขาเข้าเมือง ยังไม่สามารถดำเนินการแก้ไขได้ ส่งผลให้ขบวนรถไฟ เที่ยว 1004 ล่าช้าจากตารางเวลา 5 นาที / เที่ยว1006 ล่าช้าจากตารางเวลา 6 นาที 08.38 น. เจ้าหน้าที่ได้เข้าตรวจสอบ อุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT ขัดข้อง ที่สถานีดอนเมือง ฝั่งขาเข้าเมือง ยังไม่สามารถดำเนินการแก้ไขได้ และ จะทำการตรวจสอบแก้ไขอีกครั้ง หลังปิดให้บริการ อาจส่งผลให้ขบวนรถ ฝั่งขาเข้าเมือง ปลายทางสถานีกลางบางซื่อ ล่าช้าเป็นบางเที่ยวจากตารางเวลา ตลอดจนสิ้นสุดให้บริการ โดยจะแจ้งเที่ยวล่าช้าเป็นระยะ 14.00 น.  อุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT ขัดข้อง ยังไม่สามารถดำเนินการแก้ไขได้ ที่สถานีดอนเมือง ฝั่งขาเข้าเมือง ปลายทางสถานีกลางบางซื่อ  ส่งผลให้เกิดความล่าช้าสะสม ตลอดจนสิ้นสุดให้บริการ โดยจะแจ้งเที่ยวล่าช้าเป็นระยะ 15.00 น.  อุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT ขัดข้อง ยังไม่สามารถดำเนินการแก้ไขได้ ที่สถานีดอนเมือง ฝั่งขาเข้าเมือง ปลายทางสถานีกลางบางซื่อ  ส่งผลให้เกิดความล่าช้าสะสม ตลอดจนสิ้นสุดให้บริการ โดยจะแจ้งเที่ยวล่าช้าเป็นระยะ 21.10 น.  อุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT ขัดข้อง ยังไม่สามารถดำเนินการแก้ไขได้ ที่สถานีดอนเมือง ฝั่งขาเข้าเมือง ปลายทางสถานีกลางบางซื่อ  ส่งผลให้เกิดความล่าช้าสะสม ตลอดจนสิ้นสุดให้บริการ โดยจะแจ้งเที่ยวล่าช้าเป็นระยะ 22.10 น.  อุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT ขัดข้อง ยังไม่สามารถดำเนินการแก้ไขได้ ที่สถานีดอนเมือง ฝั่งขาเข้าเมือง ปลายทางสถานีกลางบางซื่อ  ส่งผลให้เกิดความล่าช้าสะสม ตลอดจนสิ้นสุดให้บริการ โดยจะแจ้งเที่ยวล่าช้าเป็นระยะ"
246,ธันวาคม,7 ธ.ค. 21,18.02 น.,3,สายสีเขียว,พญาไท,-,BTS, ไม่ทราบสาเหตุ ,"18.02 BTS ขบวนรถไฟฟ้าหมายเลข 03 ขัดข้องที่สถานีพญาไท ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ, กำลังทำการแก้ไข 18.11 BTS ขบวนรถที่ขัดข้องได้รับการแก้ไขเรียบร้อย, การเดินรถในสายสุขุมวิทสามารถเดินรถได้ตามปกติ"
247,ธันวาคม,7 ธ.ค. 21,21.24 น.,Express04,สาย ARL,สุวรรณภูมิ,-,SRTET, ระบบประตู ,เวลา 21.24 น. Express04 ประตูรถไฟขัดข้องทั้งขบวนที่สถานีสุวรรณภูมิ ส่งผลให้ยกเลิกรถไฟรอบออกจากสถานีสุวรรณภูมิ เวลา 21.24 น. ส่งผลกระทบตั้งแต่สถานีสุวรรณภูมิถึงสถานีรามคำแหงฝั่งขาเข้าเมือง และนำ City03 ให้บริการแทนที่สถานีมักกะสันเวลา 21.46 น. เวลา 21.46 น. รถไฟให้บริการครบตรงตารางเวลา
248,ธันวาคม,8 ธ.ค. 21,05.59 น.,T20,สายสีแดง,ตลิ่งชัน-บางบำหรุ,5,SRTET, ระบบเบรก ,05.59 ขบวนรถไฟฟ้าหมายเลข T20 เกิดเบรคฉุกเฉินขัดข้อง  ระหว่างสถานีตลิ่งชัน-สถานีบางบำหรุ ฝั่งขาเข้าเมือง  (ปลายทางสถานีกลางบางซื่อ) ดำเนินการแก้ไขเรียบร้อย ส่งผลให้เที่ยว 2006 ล่าช้าจากตารางเวลา 5 นาที 06.15 น. นำขบวนรถสำรองมาให้บริการแทนที่ สถานีกลางบางซื่อ ฝั่งขาออกเมือง รถไฟทุกขบวนให้บริการครบตรงตามตารางเวลาเดินรถ
249,ธันวาคม,8 ธ.ค. 21,09.27 น.,T14,สายสีแดง,กลางบางซื่อ,8,SRTET, ระบบประตู ,09.27 น. ขบวนรถT14  ประตูห้องคนขับรถไฟฟ้าขัดข้อง ไม่สามารถทำการเปิดประตูเปลี่ยนห้องขับได้ ที่บริเวณจุดกลับรถ สถานีกลางบางซื่อ ส่งผลกระทบให้ขบวนรถT06 เที่ยว1041 ล่าช้าจากตารางเวลา 8 นาที 10.00 น. ขบวนรถไฟให้บริการครบตรงตามตารางเวลาเดินรถ
250,ธันวาคม,8 ธ.ค. 21,12.53 น.,T02,สายสีแดง,หลักสี่,10,SRTET, ระบบจ่ายไฟฟ้าขับเคลื่อน ,"12.53 น. ขบวนรถไฟ T02 ระบบแปลงกระแสไฟฟ้าขับเคลื่อน ขัดข้อง ที่สถานีหลักสี่ ฝั่งขาออกเมือง 13.00 ทำการแก้ไขแล้วเสร็จ ส่งผลให้ขบวนรถ เที่ยว1061 ล่าช้าจากตารางเวลา  10 นาที
13.15 น. ขบวนรถไฟให้บริการครบตรงตามตารางเวลาเดินรถ"
251,ธันวาคม,8 ธ.ค. 21,17.06 น.,T08,สายสีแดง,รังสิต,14,SRTET, ผู้โดยสาร ,"17.06 น. ขบวนรถไฟ T08 เที่ยว 1085 แจ้งพบชายผู้บุกรุกบริเวณจุดกลับรถที่สถานีรังสิต 17.07 น. ศูนย์ควบคุมแจ้งให้เจ้าหน้าที่สถานีรังสิตเข้าตรวจสอบ 17.13 น. ศูนย์ควบคุมอนุมัติให้เจ้าหน้าที่สถานีรังสิตลงพื้นที่นำผู้บุกรุกออกจากบริเวณพื้นที่ราง 
17.24 น. ได้รับแจ้งจากเจ้าหน้าที่สถานีรังสิตว่าได้นำผู้บุกรุกออกจากบริเวณพื้นที่รางเรียบร้อยแล้ว ยืนยันพื้นที่ปลอดภัย ส่งผลให้ขบวนรถไฟ เที่ยว 1087 ล่าช้าจากตารางเวลา 14 นาที และ ขบวนรถไฟเที่ยว 1089 ล่าช้าจากตารางเวลา 11 นาที  18.00 น. รถไฟทุกขบวนให้บริการครบตรงตามตารางเวลาเดินรถ"
252,ธันวาคม,9 ธ.ค. 21,05.18 น.,T10,สายสีแดง,รังสิต - หลักหก,7,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"05.18 น. อุปกรณ์ตรวจจับนับเพลาล้อ B04T, B02T  ขัดข้อง ช่วงระหว่างสถานีรังสิต - สถานีหลักหก ฝั่งขาเข้าเมือง 05.30 น. เจ้าหน้าที่กำลังดำเนินการแก้ไข ส่งผลให้ขบวนรถไฟ T10/เที่ยว 1004 ล่าช้าจากตารางเวลา 7 นาที 06.56 น. เจ้าหน้าที่ดำเนินการแก้ไข อุปกรณ์ตรวจจับนับเพลาล้อ B04T, B02T ช่วงระหว่างสถานีรังสิต - สถานีหลักหก ฝั่งขาเข้าเมือง เสร็จเรียบร้อย เส้นทางกลับมาใช้งานได้ปกติ รถไฟทุกขบวนให้บริการตรงตามตารางเวลาเดินร"
253,ธันวาคม,9 ธ.ค. 21,09.59 น.,-,สายสีแดง,รังสิต - หลักหก,20,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"09.59 น. อุปกรณ์ตรวจจับนับเพลาล้อ B04T, B02T ช่วงระหว่างสถานีรังสิต - สถานีหลักหก ฝั่งขาเข้าเมือง ปลายทางสถานีกลางบางซื่อ  ขัดข้องอีกครั้ง กำลังดำเนินการแก้ไข  ส่งผลให้เกิดความล่าช้าสะสม  โดยจะแจ้งเที่ยวล่าช้าเป็นระยะ 11.29 น.  ขบวนรถT01 เที่ยว1050  ล่าช้า 5 นาที 12.00-14.00 น. เนื่องจาก อุปกรณ์ตรวจจับนับเพลาล้อ B04T, B02T ช่วงระหว่างสถานีรังสิต - สถานีหลักหก ฝั่งขาเข้าเมือง ยังไม่สมารถดำเนินการแก้ไขได้ ตลอดจนสิ้นสุดให้บริการ โดยจะแจ้งเที่ยวล่าช้าเป็นระยะ ส่งผลให้เกิดความล่าช้าสะสม 14.00-18.00 น. เนื่องจาก อุปกรณ์ตรวจจับนับเพลาล้อ B04T, B02T ช่วงระหว่างสถานีรังสิต - สถานีหลักหก ฝั่งขาเข้าเมือง ยังไม่สมารถดำเนินการแก้ไขได้ ตลอดจนสิ้นสุดให้บริการ โดยจะแจ้งเที่ยวล่าช้าเป็นระยะ ส่งผลให้เกิดความล่าช้าสะสม 18.00-22.00 น. เนื่องจาก อุปกรณ์ตรวจจับนับเพลาล้อ B04T, B02T ช่วงระหว่างสถานีรังสิต - สถานีหลักหก ฝั่งขาเข้าเมือง ยังไม่สามารถดำเนินการแก้ไขได้ ตลอดจนสิ้นสุดให้บริการ โดยจะแจ้งเที่ยวล่าช้าเป็นระยะ ส่งผลให้เกิดความล่าช้าสะสม"
254,ธันวาคม,10 ธ.ค. 21,06.02 น.,-,สายสีแดง,รังสิต,7,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,06.02 น. ระบบตรวจจับนับเพลาล้อที่สถานีรังสิต ฝั่งขาออกเมือง ขัดข้อง และ ต้องจัดการเดินรถช่วงสถานีรังสิต โดยนายสถานี  ส่งผลให้ขบวนรถเที่ยว1004 ล่าช้าจากตารางเวลา 7 นาที
255,ธันวาคม,10 ธ.ค. 21,11.30 น.,-,สาย ARL,สุวรรณภูมิ,5,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,เวลา 11.30 น.เกิดเหตุสัญญานไฟขัดข้อง ที่สถานีสุวรรณภูมิ ส่งผลให้รถล่าช้าจากตารางเวลา 5 นาที เวลา 13.18 น.เจ้าหน้าที่ทำการแก้ไขสัญญาณไฟที่สถานีสุวรรณภูมิแล้วเสร็จ รถไฟทุกขบวนให้บริการครบตรงตามตารางเวลาเดินร
